Solution Number =1
Step		Time Taken(ms)		Scope 
483		2742		10
484		0		0
485		434		10
486		531		10
487		478		10
488		390		10
489		1240		10
490		744		10
491		686		10
492		691		10
493		501		10
494		696		10
495		938		10
496		1094		10
497		1231		10
498		1237		10
499		1374		10
500		1337		10
501		1758		10
502		989		9
503		1746		10
504		1639		9
505		2956		10
506		2645		10
507		2467		10
508		1583		9
509		1906		10
510		0		0
511		501		10
512		458		10
513		434		10
514		525		10
515		526		10
516		617		10
517		462		10
518		590		10
519		759		10
520		653		10
521		553		10
522		671		10
523		825		10
524		1005		10
525		1181		10
526		1162		10
527		777		10
528		1127		10
529		1804		10
530		1161		10
531		1544		10
532		1976		10
533		2116		10
534		1548		10
535		2137		10
536		1343		9
537		2647		10
538		2875		10
539		2080		10
540		1841		9
541		2819		10
542		1409		9
543		1811		9
544		2302		9
545		1918		9
546		2233		10
547		2776		10
548		2163		9
549		1719		9
550		2047		9
551		2988		9
552		2253		9
553		2737		9
554		0		0
555		419		10
556		776		10
557		575		10
558		466		10
559		423		10
560		456		10
561		443		10
562		526		10
563		585		10
564		867		10
565		600		10
566		644		10
567		722		10
568		828		10
569		777		10
570		1236		10
571		1060		10
572		782		10
573		798		10
574		1638		10
575		1583		10
576		2236		10
577		2943		10
578		2357		10
579		2029		10
580		1937		10
581		2223		10
582		2019		10
583		2927		9
584		1994		10
585		2568		10
586		2648		10
587		2236		10
588		2623		10
589		0		0
590		450		10
591		504		10
592		691		10
593		583		10
594		602		10
595		717		10
596		756		10
597		690		10
598		647		10
599		530		10
600		568		10
601		840		10
602		867		10
603		1103		10
604		935		10
605		1353		10
606		1386		10
607		1520		10
608		1562		10
609		2637		10
610		2060		10
611		2295		10
612		2893		10
613		1707		10
614		1293		9
615		2546		10
616		1759		9
617		2417		10
618		1976		9
619		2363		10
620		2036		10
621		1659		9
622		0		0
623		412		10
624		390		10
625		657		10
626		726		10
627		1032		10
628		843		10
629		626		10
630		909		10
631		799		10
632		500		10
633		1069		10
634		1164		10
635		972		10
636		1143		10
637		1032		10
638		752		10
639		905		10
640		1123		10
641		1104		10
642		1108		10
643		1231		10
644		1074		10
645		1676		10
646		2345		10
647		1428		10
648		1619		10
649		2970		10
650		2140		10
651		1969		10
652		2354		9
653		2439		9
654		2509		10
655		2820		10
656		2912		10
657		2984		10
658		2326		10
659		0		0
660		611		10
661		427		10
662		499		10
663		535		10
664		519		10
665		645		10
666		532		10
667		458		10
668		508		10
669		514		10
670		510		10
671		1112		10
672		742		10
673		630		10
674		836		10
675		646		10
676		653		10
677		1032		10
678		1023		10
679		2156		10
680		1202		10
681		1570		10
682		1431		10
683		1275		9
684		2241		10
685		1774		10
686		1843		10
687		1828		10
688		1436		10
689		1286		9
690		0		0
691		605		10
692		441		10
693		576		10
694		662		10
695		541		10
696		1240		10
697		768		10
698		826		10
699		770		10
700		706		10
701		779		10
702		792		10
703		1175		10
704		1023		10
705		1104		10
706		922		10
707		765		10
708		910		10
709		1392		10
710		1533		10
711		1303		10
712		1815		10
713		1185		10
714		1202		10
715		2090		10
716		1764		9
717		1444		10
718		1656		10
719		2234		10
720		1858		10
721		2398		10
722		1882		9
723		2621		10
724		2688		10
725		1523		10
726		1965		9
727		2794		10
728		2305		9
729		0		0
730		644		10
731		620		10
732		507		10
733		665		10
734		819		10
735		761		10
736		694		10
737		633		10
738		495		10
739		614		10
740		716		10
741		824		10
742		649		10
743		877		10
744		592		10
745		667		10
746		1182		10
747		885		10
748		876		10
749		1003		10
750		1169		10
751		1125		10
752		2581		10
753		1380		10
754		2924		10
755		1246		10
756		2146		10
757		2540		10
758		2164		9
759		1985		9
760		2743		10
761		2966		10
762		2185		9
763		1670		9
764		2136		9
765		1994		9
766		0		0
767		512		10
768		615		10
769		444		10
770		706		10
771		465		10
772		810		10
773		813		10
774		762		10
775		574		10
776		706		10
777		874		10
778		1642		10
779		1661		10
780		1669		10
781		968		10
782		1225		10
783		1797		10
784		1728		10
785		1005		9
786		2292		9
787		2674		9
788		2695		9
789		2942		10
790		1825		9
791		1790		10
792		1376		9
793		0		0
794		453		10
795		401		10
796		505		10
797		402		10
798		858		10
799		558		10
800		383		10
801		513		10
802		546		10
803		746		10
804		808		10
805		916		10
806		732		10
807		593		10
808		955		10
809		680		10
810		858		10
811		1272		10
812		1011		10
813		1293		10
814		1806		10
815		2358		10
816		2353		10
817		1839		10
818		2173		9
819		2517		9
820		1552		10
821		2886		10
822		2591		10
823		2350		9
824		1463		9
825		0		0
826		381		10
827		386		10
828		510		10
829		437		10
830		894		10
831		601		10
832		442		10
833		524		10
834		785		10
835		731		10
836		763		10
837		1131		10
838		1304		10
839		778		10
840		722		10
841		1084		10
842		1073		10
843		1400		10
844		1858		10
845		2035		10
846		1778		10
847		1549		10
848		1539		10
849		1221		10
850		1961		9
851		2599		10
852		1936		10
853		2444		10
854		2598		10
855		2449		10
856		2669		10
857		2591		9
858		1925		9
859		2290		9
860		0		0
861		442		10
862		763		10
863		499		10
864		450		10
865		716		10
866		548		10
867		610		10
868		525		10
869		1497		10
870		1006		10
871		1496		10
872		896		10
873		958		10
874		756		10
875		1248		10
876		1258		10
877		1485		10
878		1100		10
879		1341		10
880		1662		10
881		1967		10
882		2892		10
883		2892		9
884		2927		10
885		2460		10
886		2533		10
887		2845		10
888		2309		10
889		1734		9
890		2433		9
891		0		0
892		396		10
893		384		10
894		538		10
895		1245		10
896		900		10
897		892		10
898		567		10
899		676		10
900		986		10
901		806		10
902		1159		10
