Solution Number =2
Step		Time Taken(ms)		Scope 
0		15		5
1		18		5
2		17		5
3		21		5
4		26		5
5		22		5
6		21		5
7		21		5
8		29		5
9		25		5
10		25		5
11		31		5
12		42		5
13		38		5
14		37		5
15		50		5
16		37		5
17		56		5
18		61		5
19		86		5
20		56		5
21		79		5
22		68		5
23		79		5
24		51		5
25		60		5
26		101		5
27		88		5
28		91		5
29		87		5
30		130		5
31		115		5
32		114		5
33		155		5
34		119		5
35		161		5
36		103		5
37		211		5
38		185		5
39		160		5
40		267		5
41		192		5
42		254		5
43		141		5
44		177		5
45		192		5
46		259		5
47		353		5
48		297		5
49		276		5
50		360		5
51		286		5
52		357		5
53		196		5
54		353		5
55		361		5
56		262		5
57		294		5
58		321		5
59		424		5
60		398		5
61		311		5
62		283		5
63		360		5
64		245		5
65		288		5
66		319		5
67		397		5
68		504		5
69		543		5
70		446		5
71		523		5
72		445		5
73		519		5
74		660		5
75		647		5
76		498		5
77		355		5
78		594		5
79		561		5
80		686		5
81		500		5
82		611		5
83		550		5
84		449		5
85		589		5
86		628		5
87		279		5
88		726		5
89		592		5
90		709		5
91		839		5
92		917		5
93		985		5
94		716		5
95		838		5
96		806		5
97		895		5
98		1037		5
99		775		5
100		630		5
101		684		5
102		965		5
103		1027		5
104		980		5
105		1060		5
106		832		5
107		1066		5
108		774		5
109		884		5
110		958		5
111		965		5
112		667		5
113		715		5
114		1126		5
115		832		5
116		1522		5
117		1109		5
118		897		5
119		1184		5
120		872		5
121		1002		5
122		1229		5
123		1153		5
124		1274		5
125		1472		5
126		989		5
127		1076		5
128		1860		5
129		2008		5
130		1470		5
131		1646		5
132		1491		5
133		1183		5
134		1383		5
135		1550		5
136		1374		5
137		1604		5
138		2011		5
139		1398		5
140		1915		5
141		1961		5
142		782		5
143		14		5
144		18		5
145		17		5
146		17		5
147		18		5
148		18		5
149		23		5
150		23		5
151		26		5
152		22		5
153		31		5
154		31		5
155		28		5
156		36		5
157		37		5
158		32		5
159		31		5
160		34		5
161		37		5
162		59		5
163		55		5
164		49		5
165		48		5
166		71		5
167		71		5
168		57		5
169		73		5
170		68		5
171		86		5
172		63		5
173		101		5
174		99		5
175		112		5
176		109		5
177		125		5
178		171		5
179		105		5
180		186		5
181		126		5
182		131		5
183		201		5
184		178		5
185		160		5
186		230		5
187		310		5
188		354		5
189		270		5
190		145		5
191		320		5
192		173		5
193		227		5
194		217		5
195		306		5
196		300		5
197		314		5
198		240		5
199		265		5
200		321		5
201		313		5
202		369		5
203		457		5
204		385		5
205		444		5
206		334		5
207		443		5
208		476		5
209		472		5
210		528		5
211		532		5
212		502		5
213		717		5
214		584		5
215		745		5
216		578		5
217		527		5
218		545		5
219		605		5
220		751		5
221		519		5
222		634		5
223		631		5
224		753		5
225		589		5
226		860		5
227		617		5
228		508		5
229		664		5
230		654		5
231		639		5
232		615		5
233		770		5
234		830		5
235		654		5
236		650		5
237		518		5
238		815		5
239		699		5
240		706		5
241		728		5
242		684		5
243		759		5
244		1086		5
245		790		5
246		731		5
247		948		5
248		718		5
249		902		5
250		789		5
251		912		5
252		835		5
253		629		5
254		1353		5
255		17		5
256		17		5
257		29		5
258		27		5
259		22		5
260		20		5
261		24		5
262		24		5
263		30		5
264		40		5

 Total Steps=265
 Total Time=125851
 Number of solutions=3
